,State,Number_feature,Time_Step,number_layers,number_hiddinen_nodes,MAE,RMSE,R2_Score
251,Uttar-Pradesh,5,15,1,5,0.17017512023448944,0.1827821037910388,0.03264344226653093
252,Uttar-Pradesh,5,15,1,8,0.2623552978038788,0.27804712641190954,-1.2384944872776562
253,Uttar-Pradesh,5,15,1,16,0.1521078199148178,0.1562039426633561,0.2935146401842459
254,Uttar-Pradesh,5,15,1,32,0.21709300577640533,0.22696902536183539,-0.49159999898440754
255,Uttar-Pradesh,6,5,1,1,0.2706685960292816,0.29185501755186394,-0.5816275297362681
256,Uttar-Pradesh,6,5,1,5,0.32049453258514404,0.36242061107404416,-1.4389093767259253
257,Uttar-Pradesh,6,5,1,8,0.09980308264493942,0.11421710291691202,0.757767635603014
258,Uttar-Pradesh,6,5,1,16,0.10717394948005676,0.11887956377448683,0.7375876115304658
259,Uttar-Pradesh,6,5,1,32,0.1394808292388916,0.1524345176455086,0.5685439646935957
260,Uttar-Pradesh,6,7,1,1,0.2960924208164215,0.3123695220352457,-0.9320065235938184
261,Uttar-Pradesh,6,7,1,5,0.2306710183620453,0.25983764969299383,-0.3368274709052417
262,Uttar-Pradesh,6,7,1,8,0.10976603627204895,0.13758613099562275,0.6251819060964909
263,Uttar-Pradesh,6,7,1,16,0.20244339108467102,0.22037880623441242,0.038363547699762246
264,Uttar-Pradesh,6,7,1,32,0.11918845027685165,0.1259499677043016,0.6859004353037694
265,Uttar-Pradesh,6,15,1,1,0.332247257232666,0.34258351947012594,-2.3982253444834414
266,Uttar-Pradesh,6,15,1,5,0.2644978165626526,0.28629480665088824,-1.3732641948571809
267,Uttar-Pradesh,6,15,1,8,0.15513727068901062,0.15870603053858548,0.27070027658634854
268,Uttar-Pradesh,6,15,1,16,0.19356957077980042,0.1998061794400564,-0.1559444909037333
269,Uttar-Pradesh,6,15,1,32,0.12952359020709991,0.13752712637828626,0.45235897407116665
270,Kerala,1,5,1,1,0.32704535126686096,0.35247465057737226,-1.7756192268982813
271,Kerala,1,5,1,5,0.5387896299362183,0.5696654633880788,-6.250097776629448
272,Kerala,1,5,1,8,0.10471703112125397,0.12326904327700226,0.6605215698274969
273,Kerala,1,5,1,16,0.07357411086559296,0.08568914245489331,0.8359577635894979
274,Kerala,1,5,1,32,0.10085996240377426,0.113339951531745,0.7130077473956934
275,Kerala,1,7,1,1,0.5806066393852234,0.6136830222648965,-7.697052190743095
276,Kerala,1,7,1,5,0.10681851953268051,0.12696032136914676,0.627762735372818
277,Kerala,1,7,1,8,0.12788692116737366,0.1512588728713922,0.4716453662353576
278,Kerala,1,7,1,16,0.0836014449596405,0.0968536920724924,0.7833712030824158
279,Kerala,1,7,1,32,0.08869527280330658,0.09820183461782248,0.7772985597065354
280,Kerala,1,15,1,1,0.5508256554603577,0.5768002461842926,-8.249059255733657
281,Kerala,1,15,1,5,0.11683275550603867,0.12453819068295799,0.5688268448239595
282,Kerala,1,15,1,8,0.09808982908725739,0.1044112319719613,0.6969313286907104
283,Kerala,1,15,1,16,0.1178106963634491,0.12918407671507853,0.5360570064385849
284,Kerala,1,15,1,32,0.10972283780574799,0.11601241971093199,0.6258415228056747
285,Kerala,2,5,1,1,0.2856690585613251,0.34607757074155915,-1.6757838670202534
286,Kerala,2,5,1,5,0.14031007885932922,0.16305350363746074,0.40603022289431323
287,Kerala,2,5,1,8,0.12198357284069061,0.14086245648213067,0.5567031986785627
288,Kerala,2,5,1,16,0.10954717546701431,0.1259770430326538,0.6454423202525107
289,Kerala,2,5,1,32,0.09085492044687271,0.10151704816538445,0.7697593132913232
290,Kerala,2,7,1,1,0.32056954503059387,0.3766848939027286,-2.2767271418797237
291,Kerala,2,7,1,5,0.14700493216514587,0.16924896954894691,0.33849080823530275
292,Kerala,2,7,1,8,0.13890407979488373,0.15945152754780118,0.4128606818564745
293,Kerala,2,7,1,16,0.12403745949268341,0.1385969644687666,0.5564002935043342
294,Kerala,2,7,1,32,0.10479789972305298,0.1175768939299152,0.6807523046822277
295,Kerala,2,15,1,1,0.2516098618507385,0.3022957731717729,-1.5404505391117982
296,Kerala,2,15,1,5,0.1606520414352417,0.1714971192214593,0.18236343019751966
297,Kerala,2,15,1,8,0.17984400689601898,0.19874725458360243,-0.09811779905290585
298,Kerala,2,15,1,16,0.15807844698429108,0.1724782079687367,0.1729817353697769
299,Kerala,2,15,1,32,0.09703797847032547,0.10353446734979463,0.7019998166340305
300,Kerala,3,5,1,1,0.4274482727050781,0.4592253356855944,-3.7114628235446023
301,Kerala,3,5,1,5,0.17453894019126892,0.202174981995897,0.08681460212696579
302,Kerala,3,5,1,8,0.1507493406534195,0.17165399560953234,0.3417180857031774
303,Kerala,3,5,1,16,0.13053788244724274,0.1482601423786551,0.5089192518581406
304,Kerala,3,5,1,32,0.11673629283905029,0.12952842262964803,0.6251700717646553
305,Kerala,3,7,1,1,0.4038744866847992,0.4352496377394569,-3.3748243766239003
306,Kerala,3,7,1,5,0.15562692284584045,0.17591855196953024,0.28532742504072894
307,Kerala,3,7,1,8,0.18295589089393616,0.20519898804009354,0.027623887208580666
308,Kerala,3,7,1,16,0.13884691894054413,0.15719062086347907,0.4293930473178864
309,Kerala,3,7,1,32,0.10420016944408417,0.1168384120912499,0.6847499889217479
310,Kerala,3,15,1,1,0.12619218230247498,0.13833168101568682,0.4680266342666942
311,Kerala,3,15,1,5,0.20314174890518188,0.22305059647002567,-0.38309943300643656
312,Kerala,3,15,1,8,0.20839275419712067,0.2235068503707162,-0.38876371063329973
313,Kerala,3,15,1,16,0.1793142408132553,0.1929260561891528,-0.03473314798981453
314,Kerala,3,15,1,32,0.15486067533493042,0.16937728187917195,0.20245188985157903
315,Kerala,4,5,1,1,0.2707831859588623,0.31708142569281805,-1.2461861687870641
316,Kerala,4,5,1,5,0.11499444395303726,0.13070072691747378,0.6183545714666769
317,Kerala,4,5,1,8,0.15396825969219208,0.17801680499683292,0.29201162284086435
318,Kerala,4,5,1,16,0.04840300232172012,0.056753272638348916,0.9280408769805197
319,Kerala,4,5,1,32,0.06523261219263077,0.07559718767863673,0.8723221929427367
320,Kerala,4,7,1,1,0.6261137127876282,0.6599082255134506,-9.056593326027322
321,Kerala,4,7,1,5,0.1657036989927292,0.18797009863175426,0.18405401181977332
322,Kerala,4,7,1,8,0.1594465672969818,0.18472925033759602,0.2119476410804565
323,Kerala,4,7,1,16,0.07941023260354996,0.08863710129113848,0.8185675778868029
324,Kerala,4,7,1,32,0.057255372405052185,0.06557222398475905,0.9007058469309492
325,Kerala,4,15,1,1,0.2440347522497177,0.2786498544824721,-1.1585607062725818
326,Kerala,4,15,1,5,0.22757305204868317,0.2493630505688985,-0.7286649760750152
327,Kerala,4,15,1,8,0.14086847007274628,0.1558270810546607,0.32495529558386815
328,Kerala,4,15,1,16,0.037347450852394104,0.043468169863649785,0.9474721830574029
329,Kerala,4,15,1,32,0.06610392034053802,0.07204698660690277,0.8556960352623011
330,Kerala,5,5,1,1,0.37776798009872437,0.4126517897989203,-2.8042723291621376
331,Kerala,5,5,1,5,0.12375525385141373,0.14233251868617136,0.5474022721720853
332,Kerala,5,5,1,8,0.11031749099493027,0.1337983274384345,0.6000502183814904
333,Kerala,5,5,1,16,0.06409969925880432,0.07293326396171897,0.8811619725744732
334,Kerala,5,5,1,32,0.03805874288082123,0.04448585005027373,0.9557872118692489
335,Kerala,5,7,1,1,0.029563119634985924,0.035634308812335785,0.9706761807734255
336,Kerala,5,7,1,5,0.13730192184448242,0.16231371169359585,0.3915930161588773
337,Kerala,5,7,1,8,0.08301615715026855,0.1036422602678193,0.7519395242902756
338,Kerala,5,7,1,16,0.08528853207826614,0.09523760694663505,0.7905401758457304
339,Kerala,5,7,1,32,0.07717328518629074,0.0849102460975942,0.8335039489995172
340,Kerala,5,15,1,1,0.20614475011825562,0.22455705779754045,-0.40184513332358884
341,Kerala,5,15,1,5,0.12079314887523651,0.13257765342210423,0.5113620145910436
342,Kerala,5,15,1,8,0.12370617687702179,0.13398060000915424,0.5009656862077163
343,Kerala,5,15,1,16,0.13007137179374695,0.13836853672283222,0.46774306162371204
344,Kerala,5,15,1,32,0.07185422629117966,0.08106896550457433,0.8172926952534625
345,Kerala,6,5,1,1,0.21556657552719116,0.24963100590355242,-0.3921985210788477
346,Kerala,6,5,1,5,0.1319689005613327,0.17187242072510925,0.34004171532830463
347,Kerala,6,5,1,8,0.06585276871919632,0.07244972029076494,0.8827325410716992
348,Kerala,6,5,1,16,0.10543233156204224,0.12140513577312019,0.6707102822432155
349,Kerala,6,5,1,32,0.05146187171339989,0.059597105113957355,0.9206486337415307
350,Kerala,6,7,1,1,0.23249587416648865,0.25332000250051057,-0.4819134225427364
351,Kerala,6,7,1,5,0.16628296673297882,0.19915778966464462,0.08403604692918487
352,Kerala,6,7,1,8,0.02109898440539837,0.02853755519980292,0.9811930940287408
353,Kerala,6,7,1,16,0.1098371148109436,0.12490654223247794,0.6397084057899265
354,Kerala,6,7,1,32,0.06576413661241531,0.07018560973494084,0.8862425223527514
355,Kerala,6,15,1,1,0.24415667355060577,0.26305373461315856,-0.9236919330293163
356,Kerala,6,15,1,5,0.17126627266407013,0.20226361959972775,-0.13731871331242917
357,Kerala,6,15,1,8,0.08308957517147064,0.08728237549711378,0.7882127965874436
358,Kerala,6,15,1,16,0.14951549470424652,0.1606974992708533,0.28209851336780545
359,Kerala,6,15,1,32,0.13521118462085724,0.14536010362380386,0.4125957872259912
360,Tamil-Nadu,1,5,1,1,0.1321393996477127,0.1688465480205467,0.47237125743282327
361,Tamil-Nadu,1,5,1,5,0.35611748695373535,0.4127500173740857,-2.1529586512910384
362,Tamil-Nadu,1,5,1,8,0.10391175001859665,0.1343742922276332,0.6658230702195937
363,Tamil-Nadu,1,5,1,16,0.061776503920555115,0.07663628030219222,0.8913041644883045
364,Tamil-Nadu,1,5,1,32,0.08820430189371109,0.10148390608334883,0.809393180891989
365,Tamil-Nadu,1,7,1,1,0.35247576236724854,0.41134192433626254,-2.185864118088887
366,Tamil-Nadu,1,7,1,5,0.1804119497537613,0.2206827761966394,0.08302361494713273
367,Tamil-Nadu,1,7,1,8,0.16727636754512787,0.20435290397982217,0.21370975279026472
368,Tamil-Nadu,1,7,1,16,0.08276308327913284,0.10311508058756341,0.79979928642781
369,Tamil-Nadu,1,7,1,32,0.0722721591591835,0.08876686406928483,0.851637877331503
370,Tamil-Nadu,1,15,1,1,0.36028021574020386,0.4115014134159125,-2.5072927835338117
371,Tamil-Nadu,1,15,1,5,0.16912046074867249,0.19725549313048388,0.19408819596081883
372,Tamil-Nadu,1,15,1,8,0.18615566194057465,0.21292009062231737,0.061006344698624426
373,Tamil-Nadu,1,15,1,16,0.13432013988494873,0.1517418623487069,0.5230858687137673
374,Tamil-Nadu,1,15,1,32,0.1093125119805336,0.12767363541953025,0.6623771633078387
375,Tamil-Nadu,2,5,1,1,0.25363650918006897,0.3209764646929485,-0.9067354835289954
376,Tamil-Nadu,2,5,1,5,0.13673542439937592,0.1726637051124994,0.44824505579192153
377,Tamil-Nadu,2,5,1,8,0.15927723050117493,0.1918531766403303,0.31878838581021596
378,Tamil-Nadu,2,5,1,16,0.10534756630659103,0.132223006106266,0.6764375112069088
379,Tamil-Nadu,2,5,1,32,0.06736823916435242,0.08170073203906632,0.8764633005923617
380,Tamil-Nadu,2,7,1,1,0.24842356145381927,0.31936307086053695,-0.9203955650218945
381,Tamil-Nadu,2,7,1,5,0.17712253332138062,0.2123444840121688,0.1510086949211764
382,Tamil-Nadu,2,7,1,8,0.17122550308704376,0.21289551580568217,0.14659674831040725
383,Tamil-Nadu,2,7,1,16,0.12808829545974731,0.16043697154876083,0.5153478090083257
384,Tamil-Nadu,2,7,1,32,0.12136563658714294,0.14265896843683928,0.6168053453032962
385,Tamil-Nadu,2,15,1,1,0.14536364376544952,0.202452914053049,0.15105919596625916
386,Tamil-Nadu,2,15,1,5,0.15304824709892273,0.17688296824121078,0.3519606466529126
387,Tamil-Nadu,2,15,1,8,0.22287341952323914,0.25588044232710394,-0.35613712323408087
388,Tamil-Nadu,2,15,1,16,0.18935155868530273,0.21704740911792486,0.024249990710760505
389,Tamil-Nadu,2,15,1,32,0.15370965003967285,0.17278244770419396,0.381658191625073
390,Tamil-Nadu,3,5,1,1,0.2497350573539734,0.3109435421150544,-0.7893990057072207
391,Tamil-Nadu,3,5,1,5,0.1221582442522049,0.15060253200307006,0.5802326738461363
392,Tamil-Nadu,3,5,1,8,0.10837721824645996,0.130964386496629,0.6825681670266875
