,State,Number_feature,Time_Step,number_layers,MAE,RMSE,R2_Score
86,Karnataka,5,30,1,0.11227254569530487,0.1275042236554171,0.400460947141557
87,Karnataka,5,30,2,0.2231239229440689,0.2464039074212514,-1.2390486248190085
88,Karnataka,6,5,1,0.11093351244926453,0.13289311010289814,0.6986289940668152
89,Karnataka,6,5,2,0.12059249728918076,0.14442095543257966,0.6440762428054727
90,Karnataka,6,7,1,0.1375531107187271,0.16268033282685943,0.5359486208508051
91,Karnataka,6,7,2,0.15988552570343018,0.17934737979760512,0.4359909816535553
92,Karnataka,6,15,1,0.13284075260162354,0.15067523184002587,0.5374391120212927
93,Karnataka,6,15,2,0.17111290991306305,0.19004081733105113,0.26416749508140236
94,Karnataka,6,30,1,0.24087928235530853,0.25498479505628585,-1.397711350928275
95,Karnataka,6,30,2,0.1770518571138382,0.19531058310521734,-0.4067598426216137
96,Uttar-Pradesh,1,5,1,0.14815716445446014,0.16737016209411543,0.5079174967355125
97,Uttar-Pradesh,1,5,2,0.0939667671918869,0.1020026253056782,0.8172301542524744
98,Uttar-Pradesh,1,7,1,0.17670127749443054,0.19185141935738123,0.3165495051448832
99,Uttar-Pradesh,1,7,2,0.10796868801116943,0.11580106034858875,0.7509984525721183
100,Uttar-Pradesh,1,15,1,0.16530290246009827,0.17691233503762135,0.19362058402992477
101,Uttar-Pradesh,1,15,2,0.1908641755580902,0.20341036998018241,-0.0660299063926959
102,Uttar-Pradesh,1,30,1,0.1524479240179062,0.1563633388490687,-1.4052115491198016
103,Uttar-Pradesh,1,30,2,0.1542866826057434,0.15853589581172195,-1.472513271430452
104,Uttar-Pradesh,2,5,1,0.1551336795091629,0.1743566268979863,0.4659783855985856
105,Uttar-Pradesh,2,5,2,0.1739441156387329,0.19582693063299753,0.32636185136620377
106,Uttar-Pradesh,2,7,1,0.14325051009655,0.1629794624095852,0.5067775803797903
107,Uttar-Pradesh,2,7,2,0.19310595095157623,0.21715059721590324,0.12441338250667067
108,Uttar-Pradesh,2,15,1,0.16531220078468323,0.17475864933640137,0.21313431735574595
109,Uttar-Pradesh,2,15,2,0.26005712151527405,0.27826690161338974,-0.995015569265705
110,Uttar-Pradesh,2,30,1,0.19802437722682953,0.20172691625646288,-3.0032348884990148
111,Uttar-Pradesh,2,30,2,0.16827113926410675,0.1695839657105864,-1.8291305112784553
112,Uttar-Pradesh,3,5,1,0.17114809155464172,0.1909685189918815,0.3593727508269797
113,Uttar-Pradesh,3,5,2,0.17692409455776215,0.19825900527950654,0.30952542428858465
114,Uttar-Pradesh,3,7,1,0.23494352400302887,0.2525421030284882,-0.18425327506784273
115,Uttar-Pradesh,3,7,2,0.19051633775234222,0.20992590146165926,0.181706540324042
116,Uttar-Pradesh,3,15,1,0.2163403034210205,0.2265771499369737,-0.32268194983011145
117,Uttar-Pradesh,3,15,2,0.23857350647449493,0.2500871417044695,-0.611409459215829
118,Uttar-Pradesh,3,30,1,0.21250556409358978,0.21468320396656015,-3.53397927625715
119,Uttar-Pradesh,3,30,2,0.25135350227355957,0.25252555167868024,-5.273271719482136
120,Uttar-Pradesh,4,5,1,0.16026195883750916,0.18055116373512148,0.42735899070744465
121,Uttar-Pradesh,4,5,2,0.11083542555570602,0.12400929678254129,0.7298590806519828
122,Uttar-Pradesh,4,7,1,0.14760731160640717,0.1677729885286268,0.47733776467645816
123,Uttar-Pradesh,4,7,2,0.18225985765457153,0.19709680906528348,0.27866630714393525
124,Uttar-Pradesh,4,15,1,0.152634397149086,0.16485878166256102,0.29975917630117244
125,Uttar-Pradesh,4,15,2,0.20787806808948517,0.223834658821967,-0.29085625136681004
126,Uttar-Pradesh,4,30,1,0.2036774903535843,0.2140406510417052,-3.5068790176964253
127,Uttar-Pradesh,4,30,2,0.23033681511878967,0.23810527901324702,-4.577266866487961
128,Uttar-Pradesh,5,5,1,0.16213904321193695,0.18740807703898177,0.3830379053240708
129,Uttar-Pradesh,5,5,2,0.19337931275367737,0.21198057194524375,0.21064204522926078
130,Uttar-Pradesh,5,7,1,0.17371192574501038,0.19773741288340246,0.2739698430446622
131,Uttar-Pradesh,5,7,2,0.22927804291248322,0.24382290575136606,-0.10389043699563327
132,Uttar-Pradesh,5,15,1,0.15381251275539398,0.1798604671752315,0.16652102342031805
133,Uttar-Pradesh,5,15,2,0.1779441386461258,0.19130195968364982,0.05710774999997059
