,State,Number_feature,Time_Step,number_layers,kernel_size,MAE,RMSE,R2_Score
305,Karnataka,1,7,3,2,0.05872383341193199,0.06782462910323316,0.9126783486179653
306,Karnataka,1,7,3,3,0.12120050936937332,0.13671409735256118,0.6452081544377706
307,Karnataka,1,7,3,4,0.11003074795007706,0.12864977435460262,0.6858296923487278
308,Karnataka,1,7,4,1,0.19104045629501343,0.21702319866980094,0.10595507147381766
309,Karnataka,1,7,4,2,0.0782633051276207,0.09083115605255153,0.8433909936916281
310,Karnataka,1,7,4,3,0.16395196318626404,0.19261338605593384,0.2957610202505738
311,Karnataka,1,7,4,4,0.13184022903442383,0.15501206069407547,0.5438810903099534
312,Karnataka,1,15,2,1,0.06638284027576447,0.07196479764811708,0.8784918972370047
313,Karnataka,1,15,2,2,0.03454301506280899,0.03704924323097632,0.9677949752938644
314,Karnataka,1,15,2,3,0.06634704768657684,0.07369867485631398,0.8725662910329084
315,Karnataka,1,15,2,4,0.13974694907665253,0.1525012693586833,0.4543528225161788
316,Karnataka,1,15,3,1,0.17627859115600586,0.18774813882169394,0.17297950827835862
317,Karnataka,1,15,3,2,0.10439162701368332,0.11325961350301483,0.699035585603424
318,Karnataka,1,15,3,3,0.15276040136814117,0.17038895548895047,0.3188419317981501
319,Karnataka,1,15,3,4,0.12616316974163055,0.13888017698290353,0.547471987448183
320,Karnataka,1,15,4,1,0.1914013922214508,0.20619422924396189,0.002488205375875796
321,Karnataka,1,15,4,2,0.11335371434688568,0.12426115892539656,0.6377271721772033
322,Karnataka,1,15,4,3,0.0951828807592392,0.10798243005375699,0.7264282867648842
323,Karnataka,1,15,4,4,0.15156641602516174,0.16962032856443696,0.324973586846366
324,Karnataka,1,30,2,1,0.1656596064567566,0.16953168113055983,-0.49248206920803206
325,Karnataka,1,30,2,2,0.14861080050468445,0.15261630594796147,-0.20950940004916685
326,Karnataka,1,30,2,3,0.1255144476890564,0.13106010471296298,0.10803375806821047
327,Karnataka,1,30,2,4,0.0651475116610527,0.06707848365255957,0.7663456740306956
328,Karnataka,1,30,3,1,0.019355958327651024,0.025492040358778396,0.9662544433108564
329,Karnataka,1,30,3,2,0.11068128049373627,0.11325811281366366,0.3338899269450254
330,Karnataka,1,30,3,3,0.12244290113449097,0.12781301667358502,0.15168421351996098
331,Karnataka,1,30,3,4,0.0626954734325409,0.06594364231436343,0.7741847622128109
332,Karnataka,1,30,4,1,0.06731443852186203,0.07066924932790453,0.7406606826290205
333,Karnataka,1,30,4,2,0.08112717419862747,0.09238559061433975,0.5567835708568084
334,Karnataka,1,30,4,3,0.18501543998718262,0.19355761836630445,-0.9454853314399803
335,Karnataka,1,30,4,4,0.13855694234371185,0.14791293061154318,-0.1361081040760681
336,Karnataka,2,5,2,1,0.09159731864929199,0.1003181726717496,0.8161946014243646
337,Karnataka,2,5,2,2,0.17113813757896423,0.19034717434984536,0.33825305886087
338,Karnataka,2,5,2,3,0.1109030544757843,0.12864527872740802,0.6977357925169401
339,Karnataka,2,5,2,4,0.10997863113880157,0.12574503566837983,0.7112109316519051
340,Karnataka,2,5,3,1,0.05939820781350136,0.07225860097617649,0.9046373890395574
341,Karnataka,2,5,3,2,0.15470635890960693,0.1752983188078361,0.43875236666850914
342,Karnataka,2,5,3,3,0.15620200335979462,0.18072833387162848,0.40344357020705324
343,Karnataka,2,5,3,4,0.05527789890766144,0.06612385632841063,0.9201425630284545
344,Karnataka,2,5,4,1,0.06445065885782242,0.08187566205022767,0.8775641240751315
345,Karnataka,2,5,4,2,0.14454758167266846,0.1662483491492947,0.495206545718508
346,Karnataka,2,5,4,3,0.14696279168128967,0.16712475138362576,0.48987025841846565
347,Karnataka,2,5,4,4,0.12815484404563904,0.14955431769211278,0.5914953427706634
348,Karnataka,2,7,2,1,0.07615596801042557,0.0873914051137037,0.8550278755377634
349,Karnataka,2,7,2,2,0.06772231310606003,0.08265835466842188,0.8703057764343325
350,Karnataka,2,7,2,3,0.13152649998664856,0.1470974237345108,0.5892692559784161
351,Karnataka,2,7,2,4,0.02145189791917801,0.030324726150797815,0.9825441560605943
352,Karnataka,2,7,3,1,0.10181961208581924,0.1165386196198896,0.742197636373387
353,Karnataka,2,7,3,2,0.12374445796012878,0.1408955435248115,0.6231733513758115
354,Karnataka,2,7,3,3,0.13367319107055664,0.15953039372706604,0.5169034965111545
355,Karnataka,2,7,3,4,0.06848737597465515,0.08493512134101978,0.8630627184438288
356,Karnataka,2,7,4,1,0.14229705929756165,0.16396937679274937,0.48964475569436205
357,Karnataka,2,7,4,2,0.12251679599285126,0.1379716818639481,0.6386508434898558
358,Karnataka,2,7,4,3,0.15317678451538086,0.18546102445045906,0.34709144145871706
359,Karnataka,2,7,4,4,0.11576732248067856,0.1380046724058861,0.6384780359456022
360,Karnataka,2,15,2,1,0.05895393714308739,0.06464882602747772,0.9019412656252699
